"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 0, 8, 108
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\Menu.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 11, 104
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\OtpVerification.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 125, 0, 0, 0, 0, 0, 0, 11, 136
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\SingleProduct.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\UserProfile.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\apiSlice.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\constants.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\features\auth\authApi.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\features\auth\authSlice.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\features\product\productApi.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\store.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\store.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\tailwind.config.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 1, 1, 81
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\vite.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2156, 0, 0, 0, 1, 2157
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\controllers\menu.controller.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 3, 13, 55
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\controllers\user.controller.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 10, 40, 195
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\db\dummyData.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 4, 1, 91
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\db\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\db\seed.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 0, 10, 13, 162
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\models\Menu.model.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 1, 3, 61
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\models\User.model.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 0, 4, 12, 149
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\models\category.model.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\routes\menu.route.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\routes\user.route.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\server.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 6, 8, 42
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\utils\cloudinary.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 4, 8, 46
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\utils\generateToken.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 5, 20
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\utils\sendMail.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"Total", "-", 5, 1194, 1388, 70, 2, 8159, 8, 16, 56, 399, 11297
