"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\pages\Menu.jsx", "JavaScript JSX", 0, -29, 55, 1, 27
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\redux\features\product\productApi.js", "JavaScript", 5, 0, 0, 0, 5
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\controllers\menu.controller.js", "JavaScript", 8, 0, 0, -1, 7
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\server\src\routes\menu.route.js", "JavaScript", 2, 0, 0, 0, 2
"Total", "-", 15, -29, 55, 0, 41
